trip_id,time,address,latitude,longitude,dropoff_id
156527,2012-05-07 14:54:00,50 Francis St Boston Ma 02215,-71.107178,42.335685,126488
156528,2012-05-07 17:26:00,1080 Boylston St Boston Ma 02215,-71.08807,42.347138,126489
156529,2012-05-07 17:26:00,50 Seaport Ln Boston Ma 02210,-71.041327,42.349207,126490
156530,2012-05-07 14:55:00,Viaduct St Boston Ma,-71.041705,42.349905,126491
156532,2012-05-07 17:27:00,830 Boylston St Boston Ma 02199,-71.082857,42.348595,126492
156533,2012-05-05 19:47:00,260 Northern Ave Boston Ma 02210,-71.038648,42.348755,126493
156534,2012-05-05 19:47:00,North St Boston Ma,-71.056103,42.36058,126494
156536,2012-05-05 19:47:00,735 Atlantic Ave Boston Ma 02111,-71.05626,42.350938,126495
156537,2012-05-05 19:47:00,840 Boylston St Boston Ma 02199,-71.082902,42.348657,126496
156538,2012-05-05 19:47:00,870 Boylston St Boston Ma 02199,-71.083478,42.348385,126497
156540,2012-05-05 19:47:00,250 Northern Ave Boston Ma 02210,-71.039065,42.349062,126498
156542,2012-05-07 14:55:00,Unnamed Road Boston Ma,-71.0187,42.36913,126499
156543,2012-05-07 14:55:00,734 Atlantic Ave Boston Ma 02111,-71.056292,42.35101,126500
156544,2012-05-07 14:55:00,4 Beacon St Boston Ma 02116,-71.060777,42.358435,126501
156545,2012-05-07 14:56:00,Unnamed Road Boston Ma,-71.053647,42.360728,126502
156546,2012-05-07 14:56:00,60 N North Grove St Boston Ma,-71.068497,42.361905,126503
156547,2012-05-05 19:47:00,20 Northern Ave Boston Ma 02210,-71.0485,42.354,126504
156548,2012-05-05 19:48:00,170 Charles St Boston Ma 02114,-71.070893,42.360698,126505
156549,2012-05-05 19:48:00,850 Washington St Boston Ma 02111,-71.063913,42.348713,126506
156550,2012-05-05 19:48:00,70 Peterborough St Boston Ma 02215,-71.097963,42.343462,126507
156551,2012-05-05 19:48:00,1160 Boylston St Boston Ma 02215,-71.093277,42.346418,126508
156552,2012-05-05 19:48:00,30 8th St Boston Ma 02129,-71.052943,42.374887,126509
156553,2012-05-05 19:48:00,80 Boylston St Boston Ma 02116,-71.064823,42.352445,126510
156554,2012-05-05 19:48:00,20 Sherman Ct Boston Ma 02127,-71.050082,42.33837,126511
156557,2012-05-05 19:49:00,661 Tremont St Boston Ma 02118,-71.075957,42.341723,126512
156558,2012-05-05 19:49:00,710 Huntington Ave Boston Ma,-71.103972,42.334413,126513
156559,2012-05-05 19:49:00,Unnamed Road Boston Ma,-71.08392,42.348787,126514
156560,2012-05-07 17:28:00,20 Oliver St Boston Ma 02110,-71.054818,42.35692,126515
156561,2012-05-07 17:28:00,190 State St Boston Ma,-71.053125,42.359412,126516
156563,2012-05-07 17:29:00,105 Causeway St Boston Ma 02114,-71.061735,42.365383,126517
156565,2012-05-07 17:29:00,1950 Dorchester Ave Boston Ma 02124,-71.064375,42.285312,126518
156566,2012-05-07 17:29:00,90 Arlington St Boston Ma 02116,-71.069933,42.350165,126519
156567,2012-05-07 17:29:00,Unnamed Road Boston Ma,-71.022585,42.36554,126520
156568,2012-05-07 17:29:00,198 Clarendon St Boston Ma 02116,-71.074778,42.349773,126521
156569,2012-05-05 19:49:00,97 N Harvard St Boston Ma 02134,-71.125812,42.366283,126522
156570,2012-05-05 19:49:00,53 Fargo St Boston Ma 02210,-71.04352,42.346175,126523
156571,2012-05-05 19:49:00,80 Tremont St Boston Ma 02108,-71.060747,42.357808,126524
156572,2012-05-05 19:49:00,165 Northern Ave Boston Ma 02210,-71.043012,42.350668,126525
156573,2012-05-05 19:49:00,370 W Broadway Boston Ma 02127,-71.049245,42.337672,126526
156574,2012-05-07 17:29:00,47 South St Boston Ma 02111,-71.057288,42.352312,126527
156575,2012-05-07 14:56:00,720 Atlantic Ave Boston Ma 02111,-71.05593,42.351438,126528
156576,2012-05-07 17:30:00,100 Oliver St Boston Ma 02110,-71.053032,42.356002,126529
156577,2012-05-07 17:30:00,Unnamed Road Boston Ma,-71.017032,42.366248,126530
156578,2012-05-07 17:30:00,N351 Boston Ma,-71.021928,42.36558,126531
156579,2012-05-07 17:30:00,1080 Boylston St Boston Ma 02215,-71.087982,42.347137,126532
